chid,n_tested,n_positive,S_c,ci_lower,ci_upper,raw_rate,n_mechanisms,mechanism_details,tcpl_binary_compliant,tcpl_ternary_compliant,tcpl_binary_proposed_ci,tcpl_ternary_proposed_ci,tcpl_binary_proposed_quantile,tcpl_ternary_proposed_quantile
,0,0,0.0,0.001541333133436,0.998458666866564,0.0,0,{},0,1,0,1,0,0
537191.0,0,0,0.1194444444444444,0.0416666666666666,0.1666666666666666,0.0,3,"{'NEURO': {'n_tested': 9, 'n_positive': 1, 'score': 0.15}, 'GENERAL': {'n_tested': 11, 'n_positive': 0, 'score': 0.041666666666666664}, 'NR': {'n_tested': 2, 'n_positive': 0, 'score': 0.16666666666666666}}",0,1,0,0,0,0
880025.0,0,0,0.28125,0.15625,0.4375,0.0,4,"{'NEURO': {'n_tested': 9, 'n_positive': 2, 'score': 0.25}, 'GENERAL': {'n_tested': 11, 'n_positive': 1, 'score': 0.125}, 'CYTO': {'n_tested': 1, 'n_positive': 0, 'score': 0.25}, 'NR': {'n_tested': 2, 'n_positive': 1, 'score': 0.5}}",1,1,0,1,1,1
558000.0,0,0,0.2013888888888888,0.1666666666666666,0.25,0.0,3,"{'NEURO': {'n_tested': 1, 'n_positive': 0, 'score': 0.25}, 'GENERAL': {'n_tested': 7, 'n_positive': 1, 'score': 0.1875}, 'NR': {'n_tested': 2, 'n_positive': 0, 'score': 0.16666666666666666}}",1,1,0,1,0,1
380798.0,0,0,0.425,0.15,0.7,0.0,2,"{'GENERAL': {'n_tested': 9, 'n_positive': 1, 'score': 0.15}, 'NEURO': {'n_tested': 4, 'n_positive': 3, 'score': 0.7}}",1,1,1,1,1,2
61954.0,0,0,0.4722222222222221,0.1666666666666666,0.75,0.0,3,"{'GENERAL': {'n_tested': 2, 'n_positive': 0, 'score': 0.16666666666666666}, 'NEURO': {'n_tested': 4, 'n_positive': 2, 'score': 0.5}, 'NR': {'n_tested': 1, 'n_positive': 1, 'score': 0.75}}",1,1,1,1,1,2
880026.0,0,0,0.375,0.25,0.5,0.0,2,"{'GENERAL': {'n_tested': 9, 'n_positive': 2, 'score': 0.25}, 'NR': {'n_tested': 2, 'n_positive': 1, 'score': 0.5}}",1,2,1,1,1,2
880144.0,0,0,0.2083333333333333,0.125,0.25,0.0,3,"{'NEURO': {'n_tested': 9, 'n_positive': 2, 'score': 0.25}, 'GENERAL': {'n_tested': 11, 'n_positive': 1, 'score': 0.125}, 'NR': {'n_tested': 1, 'n_positive': 0, 'score': 0.25}}",1,1,0,1,0,1
223797.0,0,0,0.1687499999999999,0.0791666666666666,0.2291666666666666,0.0,4,"{'NEURO': {'n_tested': 9, 'n_positive': 0, 'score': 0.05}, 'GENERAL': {'n_tested': 11, 'n_positive': 2, 'score': 0.20833333333333334}, 'CYTO': {'n_tested': 1, 'n_positive': 0, 'score': 0.25}, 'NR': {'n_tested': 2, 'n_positive': 0, 'score': 0.16666666666666666}}",1,1,0,1,0,1
379254.0,0,0,0.1861111111111111,0.0416666666666666,0.3499999999999999,0.0,3,"{'NEURO': {'n_tested': 9, 'n_positive': 3, 'score': 0.35}, 'GENERAL': {'n_tested': 11, 'n_positive': 0, 'score': 0.041666666666666664}, 'NR': {'n_tested': 2, 'n_positive': 0, 'score': 0.16666666666666666}}",1,1,0,1,0,1
59928.0,0,0,0.1083333333333333,0.05,0.1666666666666666,0.0,2,"{'GENERAL': {'n_tested': 9, 'n_positive': 0, 'score': 0.05}, 'NR': {'n_tested': 2, 'n_positive': 0, 'score': 0.16666666666666666}}",0,1,0,0,0,0
880156.0,0,0,0.3125,0.25,0.375,0.0,2,"{'GENERAL': {'n_tested': 3, 'n_positive': 1, 'score': 0.375}, 'NR': {'n_tested': 1, 'n_positive': 0, 'score': 0.25}}",1,2,1,1,1,2
440585.0,0,0,0.1527777777777778,0.0416666666666666,0.25,0.0,3,"{'NEURO': {'n_tested': 9, 'n_positive': 2, 'score': 0.25}, 'GENERAL': {'n_tested': 11, 'n_positive': 0, 'score': 0.041666666666666664}, 'NR': {'n_tested': 2, 'n_positive': 0, 'score': 0.16666666666666666}}",1,1,0,1,0,0
379666.0,0,0,0.1207070707070707,0.0454545454545454,0.1666666666666666,0.0,3,"{'NEURO': {'n_tested': 9, 'n_positive': 1, 'score': 0.15}, 'GENERAL': {'n_tested': 10, 'n_positive': 0, 'score': 0.045454545454545456}, 'NR': {'n_tested': 2, 'n_positive': 0, 'score': 0.16666666666666666}}",0,1,0,0,0,0
340244.0,0,0,0.3277777777777778,0.05,0.8333333333333334,0.0,3,"{'GENERAL': {'n_tested': 9, 'n_positive': 0, 'score': 0.05}, 'NEURO': {'n_tested': 4, 'n_positive': 0, 'score': 0.1}, 'NR': {'n_tested': 2, 'n_positive': 2, 'score': 0.8333333333333334}}",1,1,1,1,1,2
68772.0,0,0,0.1404761904761904,0.0714285714285714,0.25,0.0,3,"{'GENERAL': {'n_tested': 6, 'n_positive': 0, 'score': 0.07142857142857142}, 'NEURO': {'n_tested': 4, 'n_positive': 0, 'score': 0.1}, 'NR': {'n_tested': 1, 'n_positive': 0, 'score': 0.25}}",1,1,0,1,0,0
396867.0,0,0,0.1714285714285714,0.05,0.25,0.0,3,"{'NEURO': {'n_tested': 6, 'n_positive': 1, 'score': 0.21428571428571427}, 'GENERAL': {'n_tested': 9, 'n_positive': 0, 'score': 0.05}, 'NR': {'n_tested': 1, 'n_positive': 0, 'score': 0.25}}",1,1,0,1,0,1
235137.0,0,0,0.1583333333333333,0.15,0.1666666666666666,0.0,2,"{'GENERAL': {'n_tested': 9, 'n_positive': 1, 'score': 0.15}, 'NR': {'n_tested': 2, 'n_positive': 0, 'score': 0.16666666666666666}}",1,1,0,0,0,0
379884.0,0,0,0.3,0.15,0.5,0.0,3,"{'NEURO': {'n_tested': 5, 'n_positive': 1, 'score': 0.25}, 'GENERAL': {'n_tested': 9, 'n_positive': 1, 'score': 0.15}, 'NR': {'n_tested': 2, 'n_positive': 1, 'score': 0.5}}",1,1,0,1,1,2
63235.0,0,0,0.1270833333333333,0.0458333333333333,0.2083333333333333,0.0,4,"{'NEURO': {'n_tested': 9, 'n_positive': 0, 'score': 0.05}, 'GENERAL': {'n_tested': 11, 'n_positive': 0, 'score': 0.041666666666666664}, 'CYTO': {'n_tested': 1, 'n_positive': 0, 'score': 0.25}, 'NR': {'n_tested': 2, 'n_positive': 0, 'score': 0.16666666666666666}}",1,1,0,1,0,0
